transcript_id HELAS3 GM12878 H1HESC HEPG2 K562
ENST00000458207.1 0.0031275 0.007107 0.002482 0 0.0003305
ENST00000450157.1 0.0006495 0.0032145 0.008369 0.0002845 0.0008005
ENST00000431553.1 0.0109395 0.009849 0 0 0
ENST00000417869.1 0.0100785 0.0052755 0.0141475 0.0045205 0.001713
ENST00000440190.1 0.0112065 0.0151975 0.013366 0.005756 0.00141
ENST00000415255.1 0 0 0 0 0.0002175
ENST00000424418.1 0 0 0.000526 0 0
ENST00000418255.1 0.0076165 0.000393 0.000593 0.0029715 0.0017245
ENST00000435785.1 0.0047795 0.001677 0.003558 0.002317 0.008167
ENST00000450713.1 0.0052885 0.0118465 0.0024935 0.008841 0.000887
ENST00000453437.1 0.0007895 0 0 0.0018355 0
ENST00000437060.1 0.0012005 0 0 0.0050255 0
ENST00000440100.1 0.000409 0 0 0 0.002019
ENST00000414199.1 0.0068465 0.0001635 0 0 0.000139
ENST00000425554.1 0.0022265 0 0.000721 0.002182 0
ENST00000445073.1 0.0008 0 0.0019535 0.0006745 0.0001405
ENST00000422305.1 0.0001715 0.000347 0 0.000814 0.001142
ENST00000429109.1 0.011821 0 0.0027595 0.0042365 0
ENST00000440249.1 0 0 0 0 0
ENST00000436207.1 0.0009685 0 0 0.0010635 0
ENST00000414339.1 0.007252 0.017849 0.009108 0.00847 0.0166925
ENST00000436098.1 0 0 0 0 0
ENST00000447572.1 0 0 0 0 0
ENST00000414798.1 0.0025975 0.004642 0.013785 0.0031195 0.0085215
ENST00000416809.1 0 0.0022 0.0022125 0.001774 0.0017345
ENST00000425076.1 0.0012275 0.0005515 0.00517 0.005508 0.00552
ENST00000444563.1 0.005055 0.006435 0.0023145 0.0068205 0.008962
ENST00000431759.1 0.0070455 0.0096975 0.0369485 0.024321 0.0413685
ENST00000416689.1 0.0023835 0.004807 0.0274965 0.0087095 0.0369525
ENST00000424948.1 0.063236 0.0254865 0.0536175 0.057675 0.0325965
ENST00000436713.1 0.0035005 0.0007865 0.0022855 0.002503 0.00092
ENST00000396885.2 0.0227905 0.00023 0.008973 0.0113025 0.0003245
ENST00000444386.1 0.0033655 0.00153 0.00115 0.001685 0.001724
ENST00000398804.3 0.002076 0.000939 0.0005725 0.000512 0.0010035
ENST00000439057.1 0.022715 0.011895 0.021509 0.0170945 0.0186135
ENST00000434346.1 0.01335 0.006696 0.0025835 0.003369 0.0262005
ENST00000453015.1 0.0048765 0.0060835 0.000657 0.008498 0.0085045
ENST00000418149.1 0.0026035 0 0 0.002827 0.0067
ENST00000437753.1 0 0 0 0 0
ENST00000446167.1 0.0069265 0.024386 0 0.008905 0.038977
ENST00000445226.1 0 0 0 0 0
ENST00000412378.1 4.75e-05 0 0 0 0
ENST00000434244.1 0.083223 0 0.0004665 0.0688705 0.000619
ENST00000431800.1 0.044598 0 0 0.0055205 0.000166
ENST00000437643.1 0.020118 0 0 0.0021845 0
ENST00000453688.1 0.0102395 0 0 0.0009075 0.000129
ENST00000447959.1 0.0548165 0 0 0.004063 0.000715
ENST00000414156.1 0.012655 0.004607 0.026481 0.017606 0.0079745
ENST00000511004.1 0 0 9.75e-05 0 0
ENST00000440985.1 0.0019085 0.0003155 0 0.0008465 0
ENST00000428791.1 0.0002945 0.000532 0 0.000286 0
ENST00000501044.1 0 0.000939 0.000698 7.05e-05 0
ENST00000430643.1 0.0106565 0.0261445 0.000818 0.0057565 0.016712
ENST00000450004.1 0.0013115 0.0006605 0 0.0007335 0
ENST00000452785.1 0.0077825 0.006512 0.001679 0.00062 0.0026745
ENST00000416581.1 0.000341 0 0 0 0
ENST00000455247.1 0.0166695 0.001013 0.0038875 0.0006285 0.0077355
ENST00000429472.1 0 0 0.000329 0 0.001006
ENST00000442839.1 0 0 0 0 0
ENST00000418985.1 0 0 0 0 0
ENST00000444042.1 0.0377435 0.0126475 0.050935 0.0142835 0.0238535
ENST00000429328.1 0.009309 0.001109 0.0009425 0.004044 0.012256
ENST00000422216.1 0 0 0 0 0.0012785
