filename	NHEK	K562	HELAS3	GM12878	H1HESC
ENST00000422150.1	0	0	0	0	0
ENST00000434250.1	0	0.0222185	0	0	0
ENST00000422271.1	0	0	0	0	0
ENST00000433040.1	0	0	0	0	0.0275895
ENST00000433161.1	0.0206003	0	0.007481	0.014074	0
ENST00000444051.1	2.55441	12.5439	5.68262	7.16263	5.55904
ENST00000445382.1	0.128529	0.546431	0.780123	0.698519	0.22046
ENST00000432193.1	6.07659	0.431228	1.2594	7.08283	5.98608
ENST00000478294.1	11.1696	0.01371	0.284811	0.0057845	0
ENST00000509017.1	0	0	0	0	0
ENST00000412360.1	0	0	0.0132525	0	0
ENST00000533481.1	0.225762	1.59828	1.05621	0.218199	1.02626
ENST00000520171.1	0	0	0	0	0
ENST00000424460.1	0	2.16182	0.005852	0.001265	0.343423
ENST00000543040.1	0	0	0	0	0.0196455
